member_id,customer_id,member_registration_date,membership_level
1,863,6/4/18,Basic
2,582,5/10/19,Premium
3,467,12/1/19,Basic
4,72,5/15/18,Premium
5,580,4/22/18,Basic
6,763,10/9/18,Premium
7,791,10/4/19,Basic
8,439,10/17/18,Premium
9,783,5/20/19,Basic
10,244,9/9/18,Basic
11,522,7/22/18,Premium
12,727,12/23/18,Premium
13,897,7/11/18,Basic
14,829,7/23/19,Basic
15,511,10/21/18,Premium
16,652,8/16/19,Premium
17,597,5/23/19,Basic
18,65,11/2/19,Premium
19,795,2/26/19,Premium
20,882,8/2/19,Basic
21,314,12/23/19,Premium
22,331,10/13/18,Premium
23,105,10/28/18,Basic
24,328,11/2/19,Premium
25,866,12/3/19,Basic
26,479,9/26/19,Premium
27,658,6/22/19,Premium
28,595,7/3/19,Basic
29,873,8/25/18,Basic
30,280,6/16/19,Basic
31,50,1/3/19,Basic
32,341,1/7/19,Basic
33,387,1/21/19,Basic
34,131,11/23/18,Premium
35,888,7/29/19,Basic
36,901,12/14/19,Basic
37,71,12/3/19,Basic
38,433,11/15/18,Basic
39,283,10/20/18,Basic
40,127,12/31/19,Basic
41,128,7/26/19,Basic
42,700,10/18/18,Premium
43,794,11/26/19,Basic
44,309,2/13/19,Basic
45,313,2/5/19,Premium
46,80,10/11/19,Basic
47,541,6/10/19,Basic
48,44,5/1/19,Basic
49,548,11/15/19,Premium
50,867,3/16/19,Premium
51,452,3/17/19,Basic
52,243,2/3/19,Basic
53,391,11/9/19,Basic
54,996,10/3/19,Basic
55,389,5/22/19,Premium
56,880,5/21/19,Basic
57,729,3/12/19,Basic
58,121,1/1/19,Basic
59,430,1/11/19,Premium
60,297,1/31/19,Basic
61,294,2/10/19,Basic
62,730,12/12/19,Basic
63,651,11/26/19,Basic
64,768,4/25/19,Basic
65,43,3/24/19,Premium
66,469,3/18/19,Basic
67,257,7/22/19,Basic
68,801,12/3/19,Basic
69,600,8/20/19,Premium
70,733,4/9/19,Basic
71,377,10/2/19,Basic
72,434,12/2/19,Basic
73,676,10/12/19,Basic
74,95,8/6/19,Premium
75,133,7/4/19,Basic
76,761,8/10/19,Basic
77,238,7/31/19,Basic
78,858,7/10/19,Basic
79,645,10/8/19,Basic
80,343,8/29/19,Basic
81,757,7/24/19,Premium
82,657,7/19/19,Basic
83,101,12/31/19,Basic
84,539,6/30/19,Premium
85,258,11/27/19,Basic
86,724,9/24/19,Basic
87,778,7/14/19,Premium
88,327,8/13/19,Basic
89,908,8/8/19,Premium
