order_line_id,order_id,product_id,clothing_size,shoe_size,quantity,unit_price,line_total
1,1,24,,,1,12.99,12.99
2,2,29,,,2,24.99,49.98
3,3,29,,,2,24.99,49.98
4,4,23,,10,1,64.99,64.99
5,5,15,,5,1,69.99,69.99
6,5,14,,11,1,49.99,49.99
7,6,28,,,1,18.99,18.99
8,6,8,XS,,1,39.99,39.99
9,7,23,,7,1,64.99,64.99
10,7,2,S,,1,99.99,99.99
11,8,32,,,2,49.99,99.98
12,8,1,M,,1,59.99,59.99
13,9,34,,,2,19.99,39.98
14,10,1,S,,1,59.99,59.99
15,10,23,,5,1,64.99,64.99
16,11,30,,,1,24.99,24.99
17,12,9,S,,1,59.99,59.99
18,13,25,,,1,19.99,19.99
19,13,8,L,,1,39.99,39.99
20,13,34,,,1,19.99,19.99
21,14,27,,,1,19.99,19.99
22,14,21,,6,1,29.99,29.99
23,15,2,S,,1,99.99,99.99
24,15,27,,,1,19.99,19.99
25,16,27,,,2,19.99,39.98
26,17,30,,,1,24.99,24.99
27,18,25,,,2,19.99,39.98
28,19,22,,10,1,49.99,49.99
29,19,23,,11,1,64.99,64.99
30,19,12,L,,1,149.99,149.99
31,20,18,,8,1,129.99,129.99
32,20,27,,,2,19.99,39.98
33,20,14,,8,1,49.99,49.99
34,21,8,S,,1,39.99,39.99
35,21,29,,,2,24.99,49.98
36,21,22,,5,1,49.99,49.99
37,21,33,,,1,24.99,24.99
38,22,32,,,1,49.99,49.99
39,22,2,S,,1,99.99,99.99
40,23,21,,7,1,29.99,29.99
41,24,10,XL,,1,29.99,29.99
42,24,9,M,,1,59.99,59.99
43,24,19,,10,1,49.99,49.99
44,24,27,,,2,19.99,39.98
45,25,1,L,,2,59.99,119.98
46,25,25,,,2,19.99,39.98
47,26,19,,8,1,49.99,49.99
48,26,5,M,,2,99.99,199.98
49,26,26,,,2,15.99,31.98
50,27,24,,,2,12.99,25.98
51,27,16,,9,1,99.99,99.99
52,27,14,,6,1,49.99,49.99
53,28,12,XL,,2,149.99,299.98
54,29,18,,8,1,129.99,129.99
55,29,22,,10,1,49.99,49.99
56,30,14,,11,1,49.99,49.99
57,31,31,,,1,69.99,69.99
58,31,11,XL,,1,49.99,49.99
59,32,1,S,,1,59.99,59.99
60,33,15,,7,1,69.99,69.99
61,33,9,XS,,1,59.99,59.99
62,34,8,XL,,1,39.99,39.99
63,35,23,,8,1,64.99,64.99
64,35,22,,7,1,49.99,49.99
65,36,30,,,2,24.99,49.98
66,36,1,XS,,1,59.99,59.99
67,37,25,,,2,19.99,39.98
68,38,20,,11,1,19.99,19.99
69,39,18,,5,1,129.99,129.99
70,39,34,,,2,19.99,39.98
71,40,14,,8,1,49.99,49.99
72,40,30,,,2,24.99,49.98
73,40,32,,,1,49.99,49.99
74,40,25,,,2,19.99,39.98
75,41,10,XL,,2,29.99,59.98
76,41,27,,,2,19.99,39.98
77,41,19,,9,1,49.99,49.99
78,42,35,,,1,29.99,29.99
79,43,23,,11,1,64.99,64.99
80,43,16,,10,1,99.99,99.99
81,43,3,L,,1,129.99,129.99
82,43,14,,11,1,49.99,49.99
83,44,10,M,,2,29.99,59.98
84,45,10,XL,,2,29.99,59.98
85,46,31,,,2,69.99,139.98
86,47,21,,7,1,29.99,29.99
87,47,19,,8,1,49.99,49.99
88,47,32,,,1,49.99,49.99
89,48,12,M,,1,149.99,149.99
90,49,23,,6,1,64.99,64.99
91,50,26,,,1,15.99,15.99
92,50,7,XL,,2,29.99,59.98
93,50,6,XL,,2,119.99,239.98
94,51,20,,8,1,19.99,19.99
95,52,21,,8,1,29.99,29.99
96,52,33,,,1,24.99,24.99
97,52,28,,,2,18.99,37.98
98,53,12,XL,,1,149.99,149.99
99,54,26,,,2,15.99,31.98
100,54,28,,,1,18.99,18.99
101,55,10,XS,,1,29.99,29.99
102,56,12,XS,,1,149.99,149.99
103,57,35,,,1,29.99,29.99
104,57,31,,,1,69.99,69.99
105,57,31,,,2,69.99,139.98
106,58,21,,6,1,29.99,29.99
107,59,12,M,,1,149.99,149.99
108,59,21,,7,1,29.99,29.99
109,60,14,,5,1,49.99,49.99
110,61,11,L,,1,49.99,49.99
111,62,10,L,,2,29.99,59.98
112,63,20,,8,1,19.99,19.99
113,63,23,,7,1,64.99,64.99
114,64,20,,10,1,19.99,19.99
115,64,29,,,2,24.99,49.98
116,64,5,L,,2,99.99,199.98
117,64,26,,,1,15.99,15.99
118,65,23,,6,1,64.99,64.99
119,66,16,,8,1,99.99,99.99
120,67,3,M,,2,129.99,259.98
121,67,12,XL,,1,149.99,149.99
122,68,10,S,,2,29.99,59.98
123,68,16,,8,1,99.99,99.99
124,68,22,,7,1,49.99,49.99
125,68,8,XL,,2,39.99,79.98
126,68,21,,11,1,29.99,29.99
127,69,16,,9,1,99.99,99.99
128,69,33,,,2,24.99,49.98
129,69,32,,,2,49.99,99.98
130,70,20,,6,1,19.99,19.99
131,71,10,S,,2,29.99,59.98
132,72,34,,,2,19.99,39.98
133,73,10,XS,,1,29.99,29.99
134,74,11,M,,1,49.99,49.99
135,75,14,,11,1,49.99,49.99
136,76,1,S,,2,59.99,119.98
137,77,28,,,2,18.99,37.98
138,77,32,,,2,49.99,99.98
139,78,20,,8,1,19.99,19.99
140,79,33,,,1,24.99,24.99
141,80,8,L,,2,39.99,79.98
142,80,17,,6,1,99.99,99.99
143,80,32,,,2,49.99,99.98
144,80,25,,,1,19.99,19.99
145,81,19,,9,1,49.99,49.99
146,82,25,,,2,19.99,39.98
147,82,31,,,1,69.99,69.99
148,83,16,,10,1,99.99,99.99
149,83,3,M,,1,129.99,129.99
150,84,35,,,1,29.99,29.99
151,85,29,,,1,24.99,24.99
152,86,1,XL,,2,59.99,119.98
153,86,23,,7,1,64.99,64.99
154,87,6,XS,,2,119.99,239.98
155,87,31,,,2,69.99,139.98
156,88,28,,,1,18.99,18.99
157,88,2,S,,2,99.99,199.98
158,88,10,L,,2,29.99,59.98
159,89,19,,10,1,49.99,49.99
160,89,4,XL,,2,49.99,99.98
161,90,21,,9,1,29.99,29.99
162,91,20,,8,1,19.99,19.99
163,91,25,,,2,19.99,39.98
164,92,12,L,,2,149.99,299.98
165,92,22,,8,1,49.99,49.99
166,92,14,,7,1,49.99,49.99
167,92,1,L,,2,59.99,119.98
168,93,7,XL,,2,29.99,59.98
169,93,32,,,1,49.99,49.99
170,94,29,,,1,24.99,24.99
171,94,30,,,2,24.99,49.98
172,94,15,,7,1,69.99,69.99
173,94,31,,,1,69.99,69.99
174,95,35,,,1,29.99,29.99
175,95,25,,,1,19.99,19.99
176,96,4,L,,1,49.99,49.99
177,96,11,XS,,2,49.99,99.98
178,97,19,,7,1,49.99,49.99
179,97,9,M,,2,59.99,119.98
180,97,26,,,1,15.99,15.99
181,98,8,L,,2,39.99,79.98
182,98,10,XL,,2,29.99,59.98
183,98,15,,10,1,69.99,69.99
184,99,11,S,,1,49.99,49.99
185,100,5,L,,1,99.99,99.99
186,101,27,,,2,19.99,39.98
187,102,20,,5,1,19.99,19.99
188,102,15,,6,1,69.99,69.99
189,103,16,,5,1,99.99,99.99
190,103,27,,,1,19.99,19.99
191,104,9,M,,1,59.99,59.99
192,104,30,,,2,24.99,49.98
193,105,18,,6,1,129.99,129.99
194,106,18,,5,1,129.99,129.99
195,107,29,,,2,24.99,49.98
196,108,1,M,,2,59.99,119.98
197,109,11,S,,2,49.99,99.98
198,110,30,,,2,24.99,49.98
199,111,27,,,2,19.99,39.98
200,112,8,S,,1,39.99,39.99
201,112,34,,,1,19.99,19.99
202,112,35,,,1,29.99,29.99
203,112,25,,,2,19.99,39.98
204,112,26,,,2,15.99,31.98
205,112,15,,10,1,69.99,69.99
206,113,13,,7,1,69.99,69.99
207,114,4,XS,,2,49.99,99.98
208,115,4,S,,2,49.99,99.98
209,116,22,,8,1,49.99,49.99
210,116,25,,,2,19.99,39.98
211,116,19,,11,1,49.99,49.99
212,117,8,L,,2,39.99,79.98
213,117,11,XS,,2,49.99,99.98
214,118,31,,,1,69.99,69.99
215,118,10,XS,,1,29.99,29.99
216,118,20,,9,1,19.99,19.99
217,118,17,,9,1,99.99,99.99
218,118,9,XS,,2,59.99,119.98
219,119,33,,,1,24.99,24.99
220,119,18,,5,1,129.99,129.99
221,119,7,S,,1,29.99,29.99
222,120,10,XL,,1,29.99,29.99
223,120,21,,8,1,29.99,29.99
224,121,30,,,1,24.99,24.99
225,122,2,XL,,2,99.99,199.98
226,122,10,M,,1,29.99,29.99
227,122,22,,6,1,49.99,49.99
228,122,30,,,2,24.99,49.98
229,123,8,S,,2,39.99,79.98
230,123,34,,,2,19.99,39.98
231,123,23,,9,1,64.99,64.99
232,124,17,,7,1,99.99,99.99
233,125,31,,,2,69.99,139.98
234,125,28,,,2,18.99,37.98
235,126,6,XL,,2,119.99,239.98
236,127,6,M,,1,119.99,119.99
237,128,10,XL,,1,29.99,29.99
238,129,34,,,1,19.99,19.99
239,129,27,,,2,19.99,39.98
240,130,10,XL,,1,29.99,29.99
241,130,1,L,,2,59.99,119.98
242,130,1,XS,,1,59.99,59.99
243,131,29,,,1,24.99,24.99
244,131,19,,11,1,49.99,49.99
245,131,20,,10,1,19.99,19.99
246,132,11,XS,,2,49.99,99.98
247,132,24,,,1,12.99,12.99
248,132,25,,,1,19.99,19.99
249,133,32,,,2,49.99,99.98
250,133,23,,6,1,64.99,64.99
251,134,2,L,,2,99.99,199.98
252,135,19,,10,1,49.99,49.99
253,136,20,,6,1,19.99,19.99
254,137,27,,,2,19.99,39.98
255,137,11,XL,,1,49.99,49.99
256,138,7,XL,,1,29.99,29.99
257,139,23,,5,1,64.99,64.99
258,139,26,,,2,15.99,31.98
259,139,21,,8,1,29.99,29.99
260,140,7,M,,1,29.99,29.99
261,141,24,,,1,12.99,12.99
262,142,33,,,2,24.99,49.98
263,143,32,,,1,49.99,49.99
264,143,10,XL,,1,29.99,29.99
265,144,24,,,1,12.99,12.99
266,145,15,,6,1,69.99,69.99
267,145,18,,10,1,129.99,129.99
268,146,32,,,2,49.99,99.98
269,147,27,,,2,19.99,39.98
270,148,9,L,,1,59.99,59.99
271,149,22,,8,1,49.99,49.99
272,149,28,,,2,18.99,37.98
273,150,23,,10,1,64.99,64.99
274,151,26,,,2,15.99,31.98
275,152,35,,,1,29.99,29.99
276,152,1,XL,,1,59.99,59.99
277,153,7,XL,,1,29.99,29.99
278,153,24,,,1,12.99,12.99
279,153,19,,11,1,49.99,49.99
280,154,22,,6,1,49.99,49.99
281,154,9,XL,,2,59.99,119.98
282,154,24,,,2,12.99,25.98
283,154,34,,,2,19.99,39.98
284,155,4,M,,1,49.99,49.99
285,155,26,,,1,15.99,15.99
286,155,6,XS,,1,119.99,119.99
287,156,13,,9,1,69.99,69.99
288,157,13,,5,1,69.99,69.99
289,158,21,,9,1,29.99,29.99
290,159,35,,,1,29.99,29.99
291,160,7,XL,,1,29.99,29.99
292,161,28,,,2,18.99,37.98
293,162,6,XS,,2,119.99,239.98
294,162,28,,,1,18.99,18.99
295,162,33,,,2,24.99,49.98
296,162,22,,9,1,49.99,49.99
297,162,29,,,2,24.99,49.98
298,163,29,,,2,24.99,49.98
299,164,32,,,1,49.99,49.99
300,165,35,,,2,29.99,59.98
301,165,30,,,2,24.99,49.98
302,166,22,,6,1,49.99,49.99
303,166,5,L,,1,99.99,99.99
304,166,10,L,,1,29.99,29.99
305,167,15,,6,1,69.99,69.99
306,168,21,,8,1,29.99,29.99
307,169,23,,9,1,64.99,64.99
308,169,14,,7,1,49.99,49.99
309,170,8,L,,1,39.99,39.99
310,170,13,,6,1,69.99,69.99
311,171,28,,,1,18.99,18.99
312,172,27,,,1,19.99,19.99
313,172,31,,,2,69.99,139.98
314,173,1,M,,2,59.99,119.98
315,174,15,,7,1,69.99,69.99
316,174,25,,,1,19.99,19.99
317,174,17,,6,1,99.99,99.99
318,174,9,XS,,2,59.99,119.98
319,174,13,,11,1,69.99,69.99
320,175,7,XL,,1,29.99,29.99
321,176,5,XL,,1,99.99,99.99
322,176,2,S,,1,99.99,99.99
323,177,30,,,2,24.99,49.98
324,177,29,,,1,24.99,24.99
325,177,26,,,1,15.99,15.99
326,178,15,,5,1,69.99,69.99
327,179,29,,,1,24.99,24.99
328,180,5,M,,1,99.99,99.99
329,181,33,,,2,24.99,49.98
330,182,26,,,1,15.99,15.99
331,182,24,,,1,12.99,12.99
332,183,27,,,2,19.99,39.98
333,183,1,S,,2,59.99,119.98
334,183,23,,7,1,64.99,64.99
335,183,32,,,2,49.99,99.98
336,184,32,,,2,49.99,99.98
337,185,1,XL,,1,59.99,59.99
338,185,19,,5,1,49.99,49.99
339,185,24,,,2,12.99,25.98
340,185,22,,11,1,49.99,49.99
341,185,35,,,1,29.99,29.99
342,185,28,,,1,18.99,18.99
343,186,30,,,2,24.99,49.98
344,187,33,,,2,24.99,49.98
345,187,32,,,2,49.99,99.98
346,187,34,,,1,19.99,19.99
347,188,6,XL,,1,119.99,119.99
348,189,9,S,,1,59.99,59.99
349,190,19,,6,1,49.99,49.99
350,190,20,,10,1,19.99,19.99
351,190,30,,,2,24.99,49.98
352,190,20,,8,1,19.99,19.99
353,190,2,XL,,1,99.99,99.99
354,190,32,,,1,49.99,49.99
355,191,13,,5,1,69.99,69.99
356,192,8,XL,,1,39.99,39.99
357,193,30,,,1,24.99,24.99
358,194,22,,7,1,49.99,49.99
359,195,35,,,2,29.99,59.98
360,196,11,L,,1,49.99,49.99
361,197,30,,,2,24.99,49.98
362,198,13,,5,1,69.99,69.99
363,199,30,,,2,24.99,49.98
364,200,28,,,2,18.99,37.98
365,200,34,,,1,19.99,19.99
366,200,35,,,2,29.99,59.98
367,200,9,L,,1,59.99,59.99
368,200,21,,5,1,29.99,29.99
369,200,27,,,2,19.99,39.98
370,200,6,M,,1,119.99,119.99
371,200,10,S,,2,29.99,59.98
372,200,9,S,,1,59.99,59.99
373,201,15,,11,1,69.99,69.99
374,202,13,,5,1,69.99,69.99
375,203,28,,,1,18.99,18.99
376,203,21,,7,1,29.99,29.99
377,203,11,XL,,1,49.99,49.99
378,203,1,L,,1,59.99,59.99
379,204,9,XS,,2,59.99,119.98
380,205,21,,6,1,29.99,29.99
381,206,33,,,1,24.99,24.99
382,206,4,XS,,2,49.99,99.98
383,207,6,L,,1,119.99,119.99
384,208,35,,,2,29.99,59.98
385,209,11,XL,,1,49.99,49.99
386,210,6,M,,1,119.99,119.99
387,211,34,,,1,19.99,19.99
388,212,32,,,1,49.99,49.99
389,213,23,,8,1,64.99,64.99
390,213,22,,9,1,49.99,49.99
391,214,17,,8,1,99.99,99.99
392,214,23,,6,1,64.99,64.99
393,215,21,,8,1,29.99,29.99
394,216,1,XS,,1,59.99,59.99
395,217,31,,,1,69.99,69.99
396,217,16,,6,1,99.99,99.99
397,217,14,,9,1,49.99,49.99
398,217,19,,10,1,49.99,49.99
399,218,22,,10,1,49.99,49.99
400,218,33,,,2,24.99,49.98
401,218,3,S,,1,129.99,129.99
402,219,21,,10,1,29.99,29.99
403,220,33,,,1,24.99,24.99
404,220,15,,7,1,69.99,69.99
405,220,27,,,2,19.99,39.98
406,220,32,,,2,49.99,99.98
407,221,27,,,2,19.99,39.98
408,222,25,,,2,19.99,39.98
409,222,30,,,1,24.99,24.99
410,223,31,,,2,69.99,139.98
411,224,12,M,,2,149.99,299.98
412,224,34,,,1,19.99,19.99
413,224,35,,,1,29.99,29.99
414,225,23,,9,1,64.99,64.99
415,225,9,L,,2,59.99,119.98
416,226,31,,,1,69.99,69.99
417,227,1,L,,1,59.99,59.99
418,227,24,,,2,12.99,25.98
419,228,15,,9,1,69.99,69.99
420,229,27,,,1,19.99,19.99
421,229,10,M,,2,29.99,59.98
422,230,9,XS,,2,59.99,119.98
423,231,13,,10,1,69.99,69.99
424,232,18,,8,1,129.99,129.99
425,233,35,,,2,29.99,59.98
426,234,5,M,,1,99.99,99.99
427,235,32,,,1,49.99,49.99
428,236,25,,,2,19.99,39.98
429,236,29,,,1,24.99,24.99
430,237,2,XL,,2,99.99,199.98
431,238,29,,,2,24.99,49.98
432,239,1,L,,2,59.99,119.98
433,240,28,,,1,18.99,18.99
434,240,30,,,1,24.99,24.99
435,241,33,,,1,24.99,24.99
436,242,20,,7,1,19.99,19.99
437,243,26,,,2,15.99,31.98
438,244,5,XL,,2,99.99,199.98
439,244,27,,,2,19.99,39.98
440,244,7,XL,,2,29.99,59.98
441,244,7,XS,,1,29.99,29.99
442,244,2,XL,,1,99.99,99.99
443,244,9,XS,,1,59.99,59.99
444,245,10,L,,1,29.99,29.99
445,246,12,S,,2,149.99,299.98
446,247,19,,5,1,49.99,49.99
447,247,11,L,,1,49.99,49.99
448,248,24,,,1,12.99,12.99
449,248,20,,7,1,19.99,19.99
450,249,19,,10,1,49.99,49.99
451,250,24,,,2,12.99,25.98
452,250,31,,,2,69.99,139.98
453,251,6,XL,,2,119.99,239.98
454,251,9,S,,1,59.99,59.99
455,251,8,XL,,2,39.99,79.98
456,251,15,,9,1,69.99,69.99
457,252,27,,,1,19.99,19.99
458,252,17,,7,1,99.99,99.99
459,252,11,XS,,2,49.99,99.98
460,253,18,,11,1,129.99,129.99
461,253,2,XL,,1,99.99,99.99
462,254,23,,8,1,64.99,64.99
463,255,7,M,,2,29.99,59.98
464,255,16,,11,1,99.99,99.99
465,256,1,XS,,1,59.99,59.99
466,256,25,,,2,19.99,39.98
467,257,20,,7,1,19.99,19.99
468,258,9,L,,1,59.99,59.99
469,259,28,,,1,18.99,18.99
470,260,33,,,2,24.99,49.98
471,260,4,S,,2,49.99,99.98
472,261,4,M,,1,49.99,49.99
473,261,8,S,,2,39.99,79.98
474,262,4,S,,2,49.99,99.98
475,262,34,,,1,19.99,19.99
476,262,8,L,,1,39.99,39.99
477,263,25,,,2,19.99,39.98
478,264,22,,8,1,49.99,49.99
479,265,27,,,2,19.99,39.98
480,265,25,,,1,19.99,19.99
481,266,1,L,,1,59.99,59.99
482,267,34,,,2,19.99,39.98
483,267,12,S,,2,149.99,299.98
484,267,7,L,,2,29.99,59.98
485,268,5,XL,,1,99.99,99.99
486,268,13,,7,1,69.99,69.99
487,269,10,M,,1,29.99,29.99
488,270,30,,,2,24.99,49.98
489,271,9,M,,1,59.99,59.99
490,272,29,,,1,24.99,24.99
491,273,35,,,1,29.99,29.99
492,274,35,,,2,29.99,59.98
493,274,31,,,2,69.99,139.98
494,274,1,XS,,1,59.99,59.99
495,275,34,,,2,19.99,39.98
496,276,33,,,1,24.99,24.99
497,276,14,,10,1,49.99,49.99
498,276,22,,7,1,49.99,49.99
499,276,13,,8,1,69.99,69.99
500,277,15,,8,1,69.99,69.99
501,278,34,,,2,19.99,39.98
502,278,4,XS,,2,49.99,99.98
503,278,27,,,1,19.99,19.99
