order_id,customer_id,order_date,total_amount,status
1,542,2023-10-12,12.99,Processed
2,342,2022-12-14,49.98,Shipped
3,607,2020-07-03,49.98,Processed
4,401,2023-08-10,64.99,Processed
5,573,2021-08-22,119.98,Delivered
6,132,2024-04-02,58.98,Delivered
7,96,2024-05-16,164.98,Processed
8,317,2023-03-03,159.97,Shipped
9,708,2024-01-20,39.98,Shipped
10,617,2024-05-13,124.98,Shipped
11,826,2024-02-13,24.99,Confirmed
12,809,2023-03-17,59.99,Confirmed
13,108,2019-12-01,79.97,Confirmed
14,932,2024-05-29,49.98,Confirmed
15,843,2024-05-26,119.98,Confirmed
16,235,2024-04-12,39.98,Confirmed
17,850,2023-01-15,24.99,Processed
18,396,2020-11-02,39.98,Confirmed
19,274,2024-01-24,264.97,Confirmed
20,929,2023-10-22,219.96,Processed
21,273,2019-03-21,164.95,Delivered
22,155,2023-09-20,149.98,Processed
23,775,2020-04-16,29.99,Processed
24,510,2022-03-26,179.95,Delivered
25,95,2023-10-08,159.96,Delivered
26,296,2020-02-21,281.95,Processed
27,580,2023-06-24,175.96,Shipped
28,628,2020-07-05,299.98,Processed
29,945,2023-04-07,179.98,Confirmed
30,624,2024-05-24,49.99,Processed
31,448,2022-05-19,119.98,Shipped
32,542,2023-04-16,59.99,Delivered
33,967,2022-11-24,129.98,Delivered
34,106,2024-03-05,39.99,Processed
35,275,2023-04-16,114.98,Delivered
36,175,2024-02-09,109.97,Processed
37,116,2024-04-11,39.98,Processed
38,85,2024-04-11,19.99,Delivered
39,863,2023-08-16,169.97,Delivered
40,791,2020-02-06,189.94,Shipped
41,722,2020-12-02,149.95,Shipped
42,959,2019-06-24,29.99,Delivered
43,270,2023-06-14,344.96,Delivered
44,223,2023-05-25,59.98,Processed
45,693,2022-07-09,59.98,Shipped
46,918,2023-11-29,139.98,Delivered
47,452,2022-01-13,129.97,Confirmed
48,913,2024-03-13,149.99,Delivered
49,242,2022-07-31,64.99,Processed
50,778,2020-07-11,315.95,Delivered
51,816,2023-10-07,19.99,Confirmed
52,23,2022-06-12,92.96,Confirmed
53,793,2020-05-02,149.99,Confirmed
54,17,2024-03-13,50.97,Shipped
55,166,2022-01-05,29.99,Shipped
56,66,2020-05-21,149.99,Delivered
57,397,2023-10-31,239.96,Confirmed
58,858,2020-06-09,29.99,Processed
59,701,2023-11-26,179.98,Shipped
60,975,2022-10-20,49.99,Processed
61,500,2022-06-27,49.99,Shipped
62,582,2022-12-26,59.98,Shipped
63,118,2024-05-13,84.98,Shipped
64,226,2022-04-12,285.94,Processed
65,94,2023-03-13,64.99,Processed
66,182,2019-03-09,99.99,Confirmed
67,223,2023-07-29,409.97,Confirmed
68,51,2023-04-01,319.93,Delivered
69,355,2020-11-15,249.95,Confirmed
70,29,2023-06-19,19.99,Confirmed
71,955,2023-02-25,59.98,Processed
72,483,2024-05-25,39.98,Processed
73,303,2023-04-23,29.99,Delivered
74,788,2024-05-08,49.99,Processed
75,745,2019-03-06,49.99,Delivered
76,562,2024-05-10,119.98,Processed
77,575,2024-03-18,137.96,Shipped
78,7,2023-12-07,19.99,Confirmed
79,628,2022-04-30,24.99,Processed
80,396,2022-11-07,299.94,Processed
81,594,2022-11-07,49.99,Processed
82,371,2022-12-22,109.97,Delivered
83,948,2023-08-08,229.98,Delivered
84,65,2024-04-29,29.99,Processed
85,1,2024-03-22,24.99,Delivered
86,710,2020-12-15,184.97,Shipped
87,199,2023-04-26,379.96,Shipped
88,331,2023-04-27,278.95,Shipped
89,962,2021-07-13,149.97,Shipped
90,176,2024-03-07,29.99,Confirmed
91,636,2023-10-10,59.97,Delivered
92,103,2023-03-17,519.94,Shipped
93,469,2021-09-27,109.97,Delivered
94,387,2023-12-17,214.95,Processed
95,547,2023-09-05,49.98,Confirmed
96,291,2024-02-01,149.97,Processed
97,607,2024-03-13,185.96,Confirmed
98,668,2023-12-19,209.95,Delivered
99,999,2024-02-06,49.99,Shipped
100,453,2021-10-03,99.99,Shipped
101,342,2020-08-21,39.98,Delivered
102,500,2021-03-10,89.98,Shipped
103,813,2022-04-03,119.98,Shipped
104,12,2020-12-08,109.97,Confirmed
105,509,2022-01-18,129.99,Processed
106,511,2024-03-07,129.99,Shipped
107,90,2023-10-08,49.98,Delivered
108,996,2023-02-19,119.98,Confirmed
109,733,2023-12-18,99.98,Delivered
110,544,2023-04-16,49.98,Processed
111,969,2022-01-18,39.98,Confirmed
112,471,2019-07-31,231.92,Confirmed
113,221,2021-09-27,69.99,Processed
114,261,2023-03-17,99.98,Shipped
115,26,2023-03-23,99.98,Confirmed
116,166,2019-11-03,139.96,Delivered
117,878,2023-07-06,179.96,Shipped
118,267,2024-05-30,339.94,Processed
119,669,2023-05-17,184.97,Shipped
120,450,2023-04-27,59.98,Processed
121,554,2021-11-19,24.99,Delivered
122,705,2018-05-21,329.94,Shipped
123,750,2023-10-02,184.95,Delivered
124,428,2023-05-15,99.99,Shipped
125,468,2022-04-24,177.96,Processed
126,254,2022-08-12,239.98,Shipped
127,942,2022-04-14,119.99,Processed
